ID	SzamlaSzam	DevizaNem	ErtekNap	TranzakcioTipus	PartnerNeve	PartnerSzamlaszama	Osszeg	Kozlemeny	_Besorolas
225	11718011-01234028-51450007	HUF	7/16/2015		+IZV 00088315305 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
226	11718011-01234028-51450007	HUF	7/31/2015		Havi zarlati dij	01234567-98765432	-1059		101
227	11718011-01234028-51450007	HUF	7/31/2015		Konyvelesi teteldij	01234567-98765432	-22		101
228	11718011-01234028-51450007	HUF	7/31/2015		Konyvelesi teteldij-PTI	01234567-98765432	-3.26		101
229	11718011-01234028-51450007	HUF	8/7/2015		+IZV 00090100245 Balogh Gabor DR	01234567-98765432	6300		4
230	11718011-01234028-51450007	HUF	8/17/2015		+IZV 00091009644 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
231	11718011-01234028-51450007	HUF	8/25/2015		CASH WITHDRAWAL CAK-LCW/1159/A/0029	01234567-98765432	-40000		111
232	11718011-01234028-51450007	HUF	8/25/2015		CASHIER TRANSACTION FEES CAK-LCW/1159/A/0029	01234567-98765432	-268		101
233	11718011-01234028-51450007	HUF	8/31/2015		Havi zarlati dij	01234567-98765432	-1059		101
234	11718011-01234028-51450007	HUF	8/31/2015		Konyvelesi teteldij	01234567-98765432	-33		101
235	11718011-01234028-51450007	HUF	8/31/2015		Konyvelesi teteldij-PTI	01234567-98765432	-4.81		101
236	11718011-01234028-51450007	HUF	8/31/2015		Konyvelesi teteldij-PTIKP	01234567-98765432	-240		101
237	11718011-01234028-51450007	HUF	9/7/2015		+IZV 00092536683 Balogh Gabor DR	01234567-98765432	6300		4
238	11718011-01234028-51450007	HUF	9/16/2015		+IZV 00093657281 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
239	11718011-01234028-51450007	HUF	9/30/2015		Int.Appl. to   30/09/15	01234567-98765432	315.99		102
240	11718011-01234028-51450007	HUF	9/30/2015		CRT to         30/09/15	01234567-98765432	-50.56		101
241	11718011-01234028-51450007	HUF	9/30/2015		Havi zarlati dij	01234567-98765432	-1059		101
242	11718011-01234028-51450007	HUF	9/30/2015		Konyvelesi teteldij	01234567-98765432	-22		101
243	11718011-01234028-51450007	HUF	9/30/2015		Konyvelesi teteldij-PTI	01234567-98765432	-3.26		101
244	11718011-01234028-51450007	HUF	10/7/2015		+IZV 00095355592 Balogh Gabor DR	01234567-98765432	6300		4
245	11718011-01234028-51450007	HUF	10/16/2015		+IZV 00096477402 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
246	11718011-01234028-51450007	HUF	10/30/2015		Havi zarlati dij	01234567-98765432	-1059		101
247	11718011-01234028-51450007	HUF	10/30/2015		Konyvelesi teteldij	01234567-98765432	-22		101
248	11718011-01234028-51450007	HUF	10/30/2015		Konyvelesi teteldij-PTI	01234567-98765432	-3.26		101
249	11718011-01234028-51450007	HUF	11/9/2015		+IZV 00098375253 Balogh Gabor DR	01234567-98765432	6300		4
250	11718011-01234028-51450007	HUF	11/16/2015		+IZV 00099212178 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
251	11718011-01234028-51450007	HUF	11/18/2015		CASH WITHDRAWAL CAK-LCW/1173/B/0027	01234567-98765432	-100000		111
252	11718011-01234028-51450007	HUF	11/18/2015		CASHIER TRANSACTION FEES CAK-LCW/1173/B/0027	01234567-98765432	-268		101
253	11718011-01234028-51450007	HUF	11/30/2015		Havi zarlati dij	01234567-98765432	-1059		101
254	11718011-01234028-51450007	HUF	11/30/2015		Konyvelesi teteldij	01234567-98765432	-33		101
255	11718011-01234028-51450007	HUF	11/30/2015		Konyvelesi teteldij-PTI	01234567-98765432	-5.89		101
256	11718011-01234028-51450007	HUF	11/30/2015		Konyvelesi teteldij-PTIKP	01234567-98765432	-600		101
257	11718011-01234028-51450007	HUF	12/7/2015		+IZV 00101070893 Balogh Gabor DR	01234567-98765432	6300		4
258	11718011-01234028-51450007	HUF	12/16/2015		+IZV 00102332816 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
259	11718011-01234028-51450007	HUF	12/31/2015		Int.Appl. to   31/12/15	01234567-98765432	90.69		102
260	11718011-01234028-51450007	HUF	12/31/2015		CRT to         31/12/15	01234567-98765432	-14.51		101
261	11718011-01234028-51450007	HUF	12/31/2015		Havi zarlati dij	01234567-98765432	-1059		101
262	11718011-01234028-51450007	HUF	12/31/2015		Konyvelesi teteldij	01234567-98765432	-22		101
263	11718011-01234028-51450007	HUF	12/31/2015		Konyvelesi teteldij-PTI	01234567-98765432	-3.26		101
264	11718011-01234028-51450007	HUF	1/7/2016		+IZV 00104013663 Balogh Gabor DR	01234567-98765432	6300		4
265	11718011-01234028-51450007	HUF	1/18/2016		+IZV 00105202945 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
266	11718011-01234028-51450007	HUF	1/29/2016		Havi zarlati dij	01234567-98765432	-1059		101
267	11718011-01234028-51450007	HUF	1/29/2016		Konyvelesi teteldij	01234567-98765432	-22		101
268	11718011-01234028-51450007	HUF	1/29/2016		Konyvelesi teteldij-PTI	01234567-98765432	-3.26		101
269	11718011-01234028-51450007	HUF	2/8/2016		+IZV 00107002943 Balogh Gabor DR	01234567-98765432	6300		4
